,BP,canonical_smiles
211,353.4980608557425,CC#CCC=C
212,353.4975235621122,C=CCCC#C
213,359.2503998713514,CC=CC#CC
214,353.4979155451109,CC#CC(=C)C
215,341.84996157291613,CC=C(C)C#C
216,352.8502815155478,C=CC=CC=C
217,364.85010376371577,CCC1=CC=CO1
218,362.6624680043866,CCC1=COC=C1
219,367.5001006222462,CC1=C(OC=C1)C
220,367.0005627431733,CC1=CC(=CO1)C
221,366.8502719454197,CC1=CC=C(O1)C
222,362.6622646772483,CC1=COC=C1C
223,348.84942995325133,CC1=CCCC1
224,338.8505553240827,CC1CCC=C1
225,338.15044567875566,CC1CC=CC1
226,355.9693821090236,C1CCC=CC1
227,343.0513364973009,CCC=CC=C
228,347.8502903521116,CCCC=C=C
229,345.849842454431,CCC=CC=C
230,346.0800063895926,CCC=CC=C
231,346.24989249389154,CCC=CC=C
232,338.05053688458844,CC=CCC=C
233,343.05183530511454,CC=CCC=C
234,343.05147120879064,CC=CCC=C
235,332.8497647743419,C=CCCC=C
236,341.0005178535373,CCC=C=CC
237,353.8504899917018,CC=CC=CC
238,343.05127141800153,CC=CC=CC
239,357.9300073097307,CC=CC=CC
240,354.849951572145,CC=CC=CC
241,343.0512817807473,CCC(=C=C)C
242,342.8501251222904,CC(C)C=C=C
243,348.85010051378595,CC=CC(=C)C
244,350.0504811192821,CC=C(C)C=C
245,343.0515800068921,CC=C(C)C=C
246,348.5496309363729,CC=CC(=C)C
247,343.0513163454211,CC=C(C)C=C
248,343.0513163454211,CC=C(C)C=C
249,349.55010641358007,CC(=CC=C)C
250,329.0504000975212,CC(=C)CC=C
251,329.0498363800974,CC(C=C)C=C
252,343.85024939035105,CC=C=C(C)C
253,345.8502949907104,CCC(=C)C=C
254,341.84992992207225,CC(=C)C(=C)C
255,343.0518489564604,CC(=CC=C)C
256,344.33049681223565,CCCCC#C
257,357.5194336764525,CCCC#CC
258,354.2000409758748,CCC#CCC
259,329.9993522184604,CCC(C)C#C
260,334.49936780865465,CC(C)CC#C
261,344.99999811642374,CC#CC(C)C
262,310.5003095100139,CC(C)(C)C#C
263,358.05145354909286,C1CC2CC2C1
264,358.05085512715146,CC1CC(C1)C
265,402.49992186025946,CC(=CC(=O)C)C
266,367.0004258231861,C=CCOCC=C
267,411.6772427310035,CCC(=C=O)CC
268,409.0498978450198,CC=CCC(=O)C
